date,product,quantity,revenue
2025-01-03,Abaya Black,4,600
2025-01-05,Abaya Beige,2,320
2025-01-10,Silk Scarf,10,500
2025-01-14,Abaya Black,3,450
2025-01-20,Oud Perfume,1,300
2025-01-22,Cotton Scarf,6,180
2025-01-27,Leather Handbag,2,900
2025-01-30,Niqab Black,5,250
2025-02-02,Abaya Black,5,750
2025-02-06,Oud Perfume,2,600
2025-02-11,Silk Scarf,3,150
2025-02-15,Abaya Beige,1,160
2025-02-18,Leather Handbag,2,900
2025-02-25,Cotton Scarf,4,120
2025-02-28,Abaya Navy,3,540
2025-03-03,Abaya Black,6,900
2025-03-07,Silk Scarf,8,400
2025-03-12,Oud Perfume,3,900
2025-03-16,Abaya Beige,4,640
2025-03-21,Leather Handbag,1,450
2025-03-25,Cotton Scarf,7,210
2025-03-29,Abaya Navy,2,360
2025-04-02,Abaya Black,8,1200
2025-04-06,Oud Perfume,4,1200
2025-04-11,Silk Scarf,5,250
2025-04-15,Abaya Beige,3,480
2025-04-20,Leather Handbag,3,1350
2025-04-26,Cotton Scarf,10,300
2025-04-29,Niqab Black,6,300
2025-05-04,Abaya Black,5,750
2025-05-09,Abaya Navy,4,720
2025-05-13,Oud Perfume,2,600
2025-05-18,Silk Scarf,12,600
2025-05-22,Abaya Beige,2,320
2025-05-27,Leather Handbag,2,900
2025-06-03,Abaya Black,7,1050
2025-06-08,Silk Scarf,6,300
2025-06-12,Oud Perfume,5,1500
2025-06-17,Abaya Navy,3,540
2025-06-21,Cotton Scarf,9,270
2025-06-27,Leather Handbag,1,450
2025-07-02,Abaya Black,6,900
2025-07-06,Abaya Beige,4,640
2025-07-10,Silk Scarf,9,450
2025-07-14,Oud Perfume,3,900
2025-07-18,Leather Handbag,2,900
2025-07-22,Niqab Black,8,400
2025-07-26,Cotton Scarf,11,330
2025-07-29,Abaya Navy,5,900
2025-08-03,Abaya Black,9,1350
2025-08-07,Silk Scarf,7,350
2025-08-11,Oud Perfume,4,1200
2025-08-15,Abaya Beige,5,800
2025-08-19,Leather Handbag,3,1350
2025-08-23,Niqab Black,6,300
2025-08-27,Cotton Scarf,8,240
2025-08-30,Abaya Navy,4,720
2025-09-02,Abaya Black,5,750
2025-09-06,Abaya Beige,3,480
2025-09-10,Silk Scarf,11,550
2025-09-14,Oud Perfume,2,600
2025-09-18,Leather Handbag,4,1800
2025-09-22,Niqab Black,7,350
2025-09-26,Cotton Scarf,9,270
2025-09-29,Abaya Navy,3,540
2025-10-03,Abaya Black,10,1500
2025-10-07,Silk Scarf,8,400
2025-10-11,Oud Perfume,5,1500
2025-10-15,Abaya Beige,6,960
2025-10-19,Leather Handbag,3,1350
2025-10-23,Niqab Black,9,450
2025-10-27,Cotton Scarf,12,360
2025-10-30,Abaya Navy,5,900
2025-11-02,Abaya Black,8,1200
2025-11-06,Abaya Beige,5,800
2025-11-10,Silk Scarf,10,500
2025-11-14,Oud Perfume,4,1200
2025-11-18,Leather Handbag,5,2250
2025-11-22,Niqab Black,8,400
2025-11-26,Cotton Scarf,10,300
2025-11-29,Abaya Navy,6,1080
2025-12-02,Abaya Black,12,1800
2025-12-06,Abaya Beige,8,1280
2025-12-10,Silk Scarf,15,750
2025-12-14,Oud Perfume,6,1800
2025-12-18,Leather Handbag,7,3150
2025-12-22,Niqab Black,10,500
2025-12-26,Cotton Scarf,14,420
2025-12-29,Abaya Navy,8,1440
